# $2 = InventarioFinal.lb
:     InventarioFinal  $2 InventarioFinal.ub InventarioFinal.rc    :=
1 1 1        32         0          50                    0
1 1 2        27         0          50                    0
1 1 3        18         0          50                    0
1 1 4        16         0          50                    0
1 1 5        10         0          50                    0
1 1 6         4         0          50                    0
1 1 7         0         0          50                    0
1 2 1         2         2           5                    0
1 2 2         1         1           5                    0
1 2 3         0         0           5                    0
1 2 4         0         0           5                    0
1 2 5         0         0           5                    0
1 2 6         0         0           5                    0
1 2 7         0         0           5                    0
2 1 1         0         0           0                    0
2 1 2         0         0           0               -20990
2 1 3        23         0          40                    0
2 1 4        18         0          40                    0
2 1 5        10         0          40                    0
2 1 6         5         0          40                    0
2 1 7         0         0          40                    0
2 2 1         0         0           1                    0
2 2 2         0         0           1                    0
2 2 3         2         0           4                    0
2 2 4         2         0           4                    0
2 2 5         1         0           4                    0
2 2 6         0         0           4                    0
2 2 7         0         0           4                    0
;

