# $3 = RestriccionInventarioS1Dn.lb
# $4 = RestriccionInventarioS1Dn.ub
:   RestriccionInventarioS1Dn RestriccionInventarioS1Dn.dual  $3  $4    :=
1 2                0                            0              0   0
1 3                0                            0              0   0
1 4                0                            0              0   0
1 5                0                            0              0   0
1 6                0                            0              0   0
1 7                0                            0              0   0
2 2           -20990                       -20990              0   0
2 3                0                            0              0   0
2 4                0                            0              0   0
2 5                0                            0              0   0
2 6                0                            0              0   0
2 7                0                            0              0   0
;

