# $4 = RestriccionVentas.ub
:     RestriccionVentas RestriccionVentas.dual RestriccionVentas.lb  $4    :=
1 1 1        36990               36990               -Infinity        9
1 1 2        36990               36990               -Infinity        5
1 1 3        36990               36990               -Infinity        8
1 1 4        36990               36990               -Infinity        2
1 1 5        36990               36990               -Infinity        6
1 1 6        36990               36990               -Infinity        6
1 1 7        36990               36990               -Infinity        4
1 2 1        36990               36990               -Infinity        0
1 2 2        36990               36990               -Infinity        1
1 2 3        36990               36990               -Infinity        2
1 2 4        36990               36990               -Infinity        0
1 2 5        36990               36990               -Infinity        0
1 2 6        36990               36990               -Infinity        0
1 2 7        36990               36990               -Infinity        0
2 1 1            0                   0               -Infinity        5
2 1 2            0                   0               -Infinity        7
2 1 3        20990               20990               -Infinity        5
2 1 4        20990               20990               -Infinity        5
2 1 5        20990               20990               -Infinity        8
2 1 6        20990               20990               -Infinity        5
2 1 7        20990               20990               -Infinity        5
2 2 1        20990               20990               -Infinity        1
2 2 2        20990               20990               -Infinity        0
2 2 3        20990               20990               -Infinity        0
2 2 4        20990               20990               -Infinity        0
2 2 5        20990               20990               -Infinity        1
2 2 6        20990               20990               -Infinity        1
2 2 7        20990               20990               -Infinity        0
;

