# $2 = RestriccionViajesCargas.dual
# $4 = RestriccionViajesCargas.ub
:     RestriccionViajesCargas  $2 RestriccionViajesCargas.lb  $4    :=
2 1 1             0             0          -Infinity           0
2 1 2             0             0          -Infinity           0
2 1 3             0             0          -Infinity           0
2 1 4             0             0          -Infinity           0
2 1 5             0             0          -Infinity           0
2 1 6             0             0          -Infinity           0
2 1 7             0             0          -Infinity           0
2 2 1             0             0          -Infinity           0
2 2 2             0             0          -Infinity           0
2 2 3             0             0          -Infinity           0
2 2 4             0             0          -Infinity           0
2 2 5             0             0          -Infinity           0
2 2 6             0             0          -Infinity           0
2 2 7             0             0          -Infinity           0
;

