# $2 = RestriccionInventario.dual
# $4 = RestriccionInventario.ub
:     RestriccionInventario  $2 RestriccionInventario.lb   $4    :=
1 1 1            0            0         -Infinity          50
1 1 2            0            0         -Infinity          50
1 1 3            0            0         -Infinity          50
1 1 4            0            0         -Infinity          50
1 1 5            0            0         -Infinity          50
1 1 6            0            0         -Infinity          50
1 1 7            0            0         -Infinity          50
1 2 1            0            0         -Infinity           5
1 2 2            0            0         -Infinity           5
1 2 3            0            0         -Infinity           5
1 2 4            0            0         -Infinity           5
1 2 5            0            0         -Infinity           5
1 2 6            0            0         -Infinity           5
1 2 7            0            0         -Infinity           5
2 1 1            0            0         -Infinity          40
2 1 2            0            0         -Infinity          40
2 1 3            0            0         -Infinity          40
2 1 4            0            0         -Infinity          40
2 1 5            0            0         -Infinity          40
2 1 6            0            0         -Infinity          40
2 1 7            0            0         -Infinity          40
2 2 1            0            0         -Infinity           4
2 2 2            0            0         -Infinity           4
2 2 3            0            0         -Infinity           4
2 2 4            0            0         -Infinity           4
2 2 5            0            0         -Infinity           4
2 2 6            0            0         -Infinity           4
2 2 7            0            0         -Infinity           4
;

