# $4 = RestriccionVentas.ub
:     RestriccionVentas RestriccionVentas.dual RestriccionVentas.lb   $4    :=
1 1 1        36990               36990               -Infinity        18
1 1 2        36990               36990               -Infinity        10
1 1 3        36990               36990               -Infinity        16
1 1 4        36990               36990               -Infinity         4
1 1 5        36990               36990               -Infinity        12
1 1 6            0                   0               -Infinity        12
1 1 7            0                   0               -Infinity         8
1 2 1        36990               36990               -Infinity         2
1 2 2            0                   0               -Infinity         2
1 2 3        36990               36990               -Infinity         4
1 2 4            0                   0               -Infinity         2
1 2 5            0                   0               -Infinity         2
1 2 6            0                   0               -Infinity         2
1 2 7            0                   0               -Infinity         2
2 1 1            0                   0               -Infinity        10
2 1 2            0                   0               -Infinity        14
2 1 3        20990               20990               -Infinity        10
2 1 4        20990               20990               -Infinity        10
2 1 5        20990               20990               -Infinity        16
2 1 6            0                   0               -Infinity        10
2 1 7        20990               20990               -Infinity        10
2 2 1            0                   0               -Infinity         2
2 2 2            0                   0               -Infinity         2
2 2 3        20990               20990               -Infinity         2
2 2 4        20990               20990               -Infinity         2
2 2 5        20990               20990               -Infinity         2
2 2 6            0                   0               -Infinity         2
2 2 7            0                   0               -Infinity         2
;

