# $2 = UnidadesVendidas.lb
:     UnidadesVendidas  $2 UnidadesVendidas.ub UnidadesVendidas.rc    :=
1 1 1         18         0          18                     0
1 1 2         10         0          10                     0
1 1 3         16         0          16                     0
1 1 4          4         0           4                     0
1 1 5         12         0          12                     0
1 1 6          8         0          12                 36990
1 1 7          0         0           8                 36990
1 2 1          2         0           2                     0
1 2 2          1         0           2                 36990
1 2 3          4         0           4                     0
1 2 4          0         0           2                 36990
1 2 5          0         0           2                 36990
1 2 6          0         0           2                 36990
1 2 7          0         0           2                 36990
2 1 1          0         0           0                     0
2 1 2          0         0           0                     0
2 1 3         10         0          10                     0
2 1 4         10         0          10                     0
2 1 5         16         0          16                     0
2 1 6          4         0          10                 20990
2 1 7         10         0          10                     0
2 2 1          1         0           1                 20990
2 2 2          0         0           1                 20990
2 2 3          2         0           2                     0
2 2 4          2         0           2                     0
2 2 5          2         0           2                     0
2 2 6          0         0           2                 20990
2 2 7          0         0           2                 20990
;

